"initial_alias","converted_alias","name","description","namespace"
"A1CF","2CPD","A1CF","APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AARS1","4XEM","AARS1","alanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:20]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AARS1","4XEO","AARS1","alanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:20]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AARS1","5KNN","AARS1","alanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:20]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AARS1","5T5S","AARS1","alanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:20]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AARS1","5T76","AARS1","alanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:20]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AARS1","5V59","AARS1","alanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:20]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AATF","5W6A","AATF","apoptosis antagonizing transcription factor [Source:HGNC Symbol;Acc:HGNC:19235]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AATF","7MQ8","AATF","apoptosis antagonizing transcription factor [Source:HGNC Symbol;Acc:HGNC:19235]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AATF","7MQ9","AATF","apoptosis antagonizing transcription factor [Source:HGNC Symbol;Acc:HGNC:19235]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCF1","5ZXD","ABCF1","ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABT1","None","None","None",""
"ACO1","2B3X","ACO1","aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACO1","2B3Y","ACO1","aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACO2","None","None","None",""
"ACTN4","1WLX","ACTN4","actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACTN4","1YDI","ACTN4","actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
