"initial_alias","converted_alias","name","description","namespace"
"AGO1","1SI2","AGO1","argonaute RISC component 1 [Source:HGNC Symbol;Acc:HGNC:3262]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO1","1SI3","AGO1","argonaute RISC component 1 [Source:HGNC Symbol;Acc:HGNC:3262]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO1","4KRE","AGO1","argonaute RISC component 1 [Source:HGNC Symbol;Acc:HGNC:3262]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO1","4KRF","AGO1","argonaute RISC component 1 [Source:HGNC Symbol;Acc:HGNC:3262]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO1","4KXT","AGO1","argonaute RISC component 1 [Source:HGNC Symbol;Acc:HGNC:3262]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO1","5W6V","AGO1","argonaute RISC component 1 [Source:HGNC Symbol;Acc:HGNC:3262]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","3LUC","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","3LUD","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","3LUG","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","3LUH","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","3LUJ","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","3LUK","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","3QX8","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","3QX9","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4F3T","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4OLA","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4OLB","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4W5N","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4W5O","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4W5Q","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4W5R","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4W5T","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4Z4C","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4Z4D","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4Z4E","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4Z4F","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4Z4G","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4Z4H","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4Z4I","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","5JS1","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","5JS2","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","5KI6","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","5T7B","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","5WEA","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","6CBD","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","6MDZ","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","6MFN","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","6MFR","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","6N4O","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","6NIT","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","6RA4","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","7C6B","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","7D7U","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","7KI3","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO3","5VM9","AGO3","argonaute RISC catalytic component 3 [Source:HGNC Symbol;Acc:HGNC:18421]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO4","6OON","AGO4","argonaute RISC component 4 [Source:HGNC Symbol;Acc:HGNC:18424]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALKBH5","4NJ4","ALKBH5","alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALKBH5","4NRM","ALKBH5","alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALKBH5","4NRO","ALKBH5","alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALKBH5","4NRP","ALKBH5","alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALKBH5","4NRQ","ALKBH5","alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALKBH5","4O61","ALKBH5","alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALKBH5","4O7X","ALKBH5","alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALKBH5","4OCT","ALKBH5","alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALKBH5","7V4G","ALKBH5","alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALKBH5","7WKV","ALKBH5","alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALKBH5","7WL0","ALKBH5","alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CAPRIN1","4WBE","CAPRIN1","cell cycle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:6743]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CAPRIN1","4WBP","CAPRIN1","cell cycle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:6743]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CAPRIN1","6TA7","CAPRIN1","cell cycle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:6743]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF1","6BLY","CPSF1","cleavage and polyadenylation specific factor 1 [Source:HGNC Symbol;Acc:HGNC:2324]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF1","6BM0","CPSF1","cleavage and polyadenylation specific factor 1 [Source:HGNC Symbol;Acc:HGNC:2324]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF1","6DNH","CPSF1","cleavage and polyadenylation specific factor 1 [Source:HGNC Symbol;Acc:HGNC:2324]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF1","6F9N","CPSF1","cleavage and polyadenylation specific factor 1 [Source:HGNC Symbol;Acc:HGNC:2324]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF1","6FBS","CPSF1","cleavage and polyadenylation specific factor 1 [Source:HGNC Symbol;Acc:HGNC:2324]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF1","6FUW","CPSF1","cleavage and polyadenylation specific factor 1 [Source:HGNC Symbol;Acc:HGNC:2324]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF1","6URG","CPSF1","cleavage and polyadenylation specific factor 1 [Source:HGNC Symbol;Acc:HGNC:2324]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF1","6URO","CPSF1","cleavage and polyadenylation specific factor 1 [Source:HGNC Symbol;Acc:HGNC:2324]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF2","6URG","CPSF2","cleavage and polyadenylation specific factor 2 [Source:HGNC Symbol;Acc:HGNC:2325]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF2","6V4X","CPSF2","cleavage and polyadenylation specific factor 2 [Source:HGNC Symbol;Acc:HGNC:2325]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF3","2I7T","CPSF3","cleavage and polyadenylation specific factor 3 [Source:HGNC Symbol;Acc:HGNC:2326]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF3","2I7V","CPSF3","cleavage and polyadenylation specific factor 3 [Source:HGNC Symbol;Acc:HGNC:2326]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF3","6M8Q","CPSF3","cleavage and polyadenylation specific factor 3 [Source:HGNC Symbol;Acc:HGNC:2326]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF3","6V4X","CPSF3","cleavage and polyadenylation specific factor 3 [Source:HGNC Symbol;Acc:HGNC:2326]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF4","2D9N","CPSF4","cleavage and polyadenylation specific factor 4 [Source:HGNC Symbol;Acc:HGNC:2327]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF4","2RHK","CPSF4","cleavage and polyadenylation specific factor 4 [Source:HGNC Symbol;Acc:HGNC:2327]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF4","6DNH","CPSF4","cleavage and polyadenylation specific factor 4 [Source:HGNC Symbol;Acc:HGNC:2327]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF4","6FBS","CPSF4","cleavage and polyadenylation specific factor 4 [Source:HGNC Symbol;Acc:HGNC:2327]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF4","6FUW","CPSF4","cleavage and polyadenylation specific factor 4 [Source:HGNC Symbol;Acc:HGNC:2327]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF4","6URG","CPSF4","cleavage and polyadenylation specific factor 4 [Source:HGNC Symbol;Acc:HGNC:2327]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF4","6URO","CPSF4","cleavage and polyadenylation specific factor 4 [Source:HGNC Symbol;Acc:HGNC:2327]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF4","7K95","CPSF4","cleavage and polyadenylation specific factor 4 [Source:HGNC Symbol;Acc:HGNC:2327]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF6","3P5T","CPSF6","cleavage and polyadenylation specific factor 6 [Source:HGNC Symbol;Acc:HGNC:13871]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF6","3P6Y","CPSF6","cleavage and polyadenylation specific factor 6 [Source:HGNC Symbol;Acc:HGNC:13871]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF6","3Q2S","CPSF6","cleavage and polyadenylation specific factor 6 [Source:HGNC Symbol;Acc:HGNC:13871]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF6","3Q2T","CPSF6","cleavage and polyadenylation specific factor 6 [Source:HGNC Symbol;Acc:HGNC:13871]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF6","4B4N","CPSF6","cleavage and polyadenylation specific factor 6 [Source:HGNC Symbol;Acc:HGNC:13871]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF6","4U0A","CPSF6","cleavage and polyadenylation specific factor 6 [Source:HGNC Symbol;Acc:HGNC:13871]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF6","4U0B","CPSF6","cleavage and polyadenylation specific factor 6 [Source:HGNC Symbol;Acc:HGNC:13871]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF6","4WYM","CPSF6","cleavage and polyadenylation specific factor 6 [Source:HGNC Symbol;Acc:HGNC:13871]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF6","6AY9","CPSF6","cleavage and polyadenylation specific factor 6 [Source:HGNC Symbol;Acc:HGNC:13871]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF6","6GX9","CPSF6","cleavage and polyadenylation specific factor 6 [Source:HGNC Symbol;Acc:HGNC:13871]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF7","3N9U","CPSF7","cleavage and polyadenylation specific factor 7 [Source:HGNC Symbol;Acc:HGNC:30098]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CSTF2","1P1T","CSTF2","cleavage stimulation factor subunit 2 [Source:HGNC Symbol;Acc:HGNC:2484]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CSTF2","2J8P","CSTF2","cleavage stimulation factor subunit 2 [Source:HGNC Symbol;Acc:HGNC:2484]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CSTF2","6Q2I","CSTF2","cleavage stimulation factor subunit 2 [Source:HGNC Symbol;Acc:HGNC:2484]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CSTF2","6TZE","CSTF2","cleavage stimulation factor subunit 2 [Source:HGNC Symbol;Acc:HGNC:2484]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CSTF2T","None","None","None",""
"DGCR8","1X47","DGCR8","DGCR8 microprocessor complex subunit [Source:HGNC Symbol;Acc:HGNC:2847]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DGCR8","2YT4","DGCR8","DGCR8 microprocessor complex subunit [Source:HGNC Symbol;Acc:HGNC:2847]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DGCR8","3LE4","DGCR8","DGCR8 microprocessor complex subunit [Source:HGNC Symbol;Acc:HGNC:2847]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DGCR8","5B16","DGCR8","DGCR8 microprocessor complex subunit [Source:HGNC Symbol;Acc:HGNC:2847]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
